Replies_subject,relation,Replies_object
hotend barrel,should,should locked in place by pressure
user1127,have upside down and backwards,plate itself
channel hotend rides,is in,lower
user1127,would see,gap
gap,is in,metal plate
user1127,can post,picture
plastruct plastic weld,also will glue back together well,abs parts
bed,actually move past,y-end plates
m4 screw,rotate freely in,aluminum plate
nut,is locked in,place
nut,is,locked
screw,could,could tightened against shoulder of screw
he,has,right
he,'s right about,loctite
fall,is in,temps
air,hitting,end of nozzle
user1131,can buy,refurbished one
matterhackers,has there,nice ones
answer1132,complete,job
answer1132,was,actually able
answer1132,found,success
answer1132,using,brims
answer1132,also had,pei full
lulzbot,replaced,my print bed
answer1132,'m,encouraged
answer1132,'m encouraged by,this
answer1132,'ll definitely think about,that from now on
larrypage,thanks for,kick in pants
user1133,did say,your printing via usb cable
taz4,does have,metal cover
your printer,is grounded to,properly grounded outlet
answer1133,know as,long time
files,are available at,download.lulzbot.com
files,are,available
hobbyist,buying,such expensive program as solidworks
user1134,mod,your printer
answer1134,have ported files to,freecad
answer1134,have ported,files
taz design,is,open source
dremel tool,will cut,steel
dremel tool,is with,abrasive cut off wheel
user1135,can do,job
ends,is with,emery cloth belt
answer1135,using,cooling water
spool,is in,question
tangle,got,there
answer1138,push out,loop
answer1138,push loop out from,from winding exact detail
answer1138,started,new spool
answer1138,risk,getting into print
spool,has,1 1/2
anyone,relax,set
filament,placing,that in oven soak
boxy look,is,better more efficient
truth,be,told
user1139,turning,fan full blast to 100 %
user1139,can test,turning
that,has,great
answer1139,'m looking,can cooled independently
answer1139,design,something similar for dual extruder v2
answer1140,check,idler arm tensioners
problem,using ic3d filament from,amazon
problem,using,ic3d filament
answer1140,was,able
extrusion temperature,was,250c
answer1140,push filament through,through hand
user1141,pull,pins
you mess,is with,main power block
user1141,get back,them
user1141,pull pins at,once
fan,leads,swapped
thermistor,fried,your thermistor
user1141,are,lucky
user1141,are,supposed
wires,are,pair
user1141,are supposed,be using
user1141,are probably going,have
wires,make,sure
ohai instructions,may help,https://ohai.lulzbot.com/group/a16b1f2d 8cca5d62c
user1142,are overextruding,bit
user1142,were near,anywhere 100 %
temperature,seeing,helps
user1142,would want,they were lifting then
user1142,raise,things
other potential issue,is,heat
user1142,have,chassis fan
user1142,have,filliament diameter set at 2.85
answer1142,looking at,ini file
user1142,change value,match
user1142,measure with,calipers
filliament,is above,almost always slightly number
user1142,change,value
% infil,start with,part
answer1143,addressing,most of issues
case,is with,99.9 % of consumer grade 3d printers
taz 5,worst experience despite,messiness of resin printing
taz,has given,me
answer1143,read,reviews
answer1143,would like,get
answer1143,going with,taz 5 something
answer1143,was,then sold
mount,is giving up,ghost
answer1143,am getting,z-ribbing
part cooling,is,horrendous
piercet 's route,going for,linear rails
bearings,even going,piercet 's route
user1143,can buy as,pro option
aleph objects,have,rod/bearing kit
see,original post in,thread
answer1143,am,really frustrated
something,is with,decent overhang
um original,was,amazing machine
answer1143,did,mods
answer1143,also had,exchange
he,blamed,problem
trade,will between,will speed
printer,has,capabilities
patience,is,virtue
answer1143,'m,unimpressed
answer1143,'m unimpressed with,quality of prints
answer1143,can look at,other upgrades
dual cooling fans,will hopefully do,trick
answer1143,expected out of,box
answer1143,expected,print quality of sub $ 1000 printer
discojon 's tool head,mount,upgrade
discojon,has,tool head
answer1143,had,similar feelings about taz
answer1143,stayed,i knew
answer1143,get with,my modded r2
parts,printed by,them
answer1143,have seen with,even glowing reports of u2
their printer,take,12 hours
print,looks,injection molded
others,are,unhappy
print,is,printed
others,are unhappy like,myself
answer1143,so changed on,whim
answer1143,have had results with,gizmo dorks abs 2.85 mm filament
answer1143,have had,excellent results
printer,is,when powered on it
go,thank,you
folks,is in,shop
elephant,has,foot flaring at base of part
elephant 's foot,is,normal
user1147,can back down,number
user1147,can back number down by,0.15
overextrusion,going on,there
overextrusion,going in addition to,wobble
user1147,get,time
extruder calibration,might need,adjusted
user1147,might want for,now
user1147,back,filliament diameter
your bed temperature,should,should fine
minor annoyance,is with,rods
job,start without,manual intervention
alignment,is usually non-issue for,mini
alignment,is,usually non-issue
users,have,problems with mechanism
users,regarding,filament diameter
mm,is,size lulzbot taz
1.75 mm filament,is,terrible
answer1148,seeing,much need for enclosure
fan speeds,seem,able
bowden tubes,is with,cartesian mechanics
machine,should,should much cheaper
answer1148,fwiw have,misadventure story related to airwolf dual-extrusion printers
reprap community,has,roots
airwolf,like,that
3d hubs operator,accepted,job for me
communication,was,excellent
communication,was excellent to,operator 's credit
desk,recommend,me
answer1149,am,new
answer1149,appreciate,your help
budaschozzle,used,honeywell thermistor
user1150,be,should able
user1150,find,several dual fan setups
z,is,when homed
answer1153,pondered,while on
bed,already has,greater mass than single extruder
tpe world,is,un-functional
squishy plastics,got,hard
nightmare,is with,bowden
answer1153,retract,3 mm
machine,is,designed
bowden,would become,reality for me
bowden,is out,front
filaments,be,saved
answer1153,overlooked,points
answer1153,'m,versed
answer1153,'m,sure
x,is in,taz firmware
stock x,be,accurate
TRUE,print,hollow cylender
diameter,match,your dimension
wall thickness,should,should uniform
walls,are,thick
user1154,look at,firmware values
y bed plane,adding,shims
heat,set inserts out of,blocks
heat,set,inserts
variant,is with,adjustable leveling feet
user1154,are seeing in,bed
ill,measure resistance after,print
ill,measure,resistance
im,looking for,4.7 ohms
printing tall thin objects,is,challenge
printing tall thin objects,is with,abs
pain,is in,ass to print
user1156,are going,want
user1156,want,go hotter
user1156,are,limited
user1156,upgrade to,5 firmware
hexagon,just add,pei sheet
user1156,getting,hexagon
skirt option,is in,your slicer
user1156,making,needed
many people,build,enclosure
user1156,are in,basement
user1156,can find,plans
x axes,removing bow in,rods
x axes,removing,bow
user1156,several plans for,diy ones
various methods,do,that
various methods,available,do
answer1157,am on,my 4th year of printing on 2 machines
answer1157,have gone through,about 1 year
answer1157,have gone through,4 hotends
pei surface,covering,your plate
silicon heater,attached to,underside
pei,was,severely gouged
user1159,can find here,directions
answer1160,just hangs on with,one screw
answer1160,guess fan in,front
answer1160,guess,fan
answer1160,'m,new
answer1160,'m new to,this
answer1160,'ll have,look again
few times,print,piercets reinforced extruder
answer1160,used for,taz6
piercet,has,reinforced carriage combined with triple fan setup
user1161,can still get,marks
answer1161,minimise,them
way,slow down,layer speed
orientation,still projects,light evenly across entire print area top to bottom
orientation,hitting,my eyes
answer1162,stuck,row of lights
that,was,great
answer1162,just wanted,more
user1162,could easily put something on like,this
user1162,could easily put on,something
actual gcode,looks,fine
part,be part of,upper sections of model
model,part of be,part
answer1163,'m leaning,more toward hardware issue
answer1163,'m leaning at,point
answer1163,using,software control
platform,set,travel speed m203 x192 y208 z3
platform,extrude,3 mm of feed stock g92 e0
heater core,is,close
user1164,get,cheap point
point,shoot,thermometer
user1164,open,filliament chamber
cut,shaped,sections
nozzle,extrude,so
nozzle,heat to,temperature
nozzle,extrude,100 mm
user1164,stay,print
user1164,extrude,molten plastic
nozzle tip,being close to,too bed
nozzle tip,is,blocked
hobbed bolt,cut,c section
extruder,gently but firmly pull filliament out of,hotend
your idea,is,workable
problem,is,scale
rods,are,either
rods,are usually either for,smooth rod installation as glide surface
shorter amount,is with,weights
tension method,works better for,particularily long segment
will effective fix,is with,least amount of effort
going,will,will probably most effective fix
thicker rods,cost,less than boxed rail approach
time,is in,north america
my printer,kept,resetting
answer1166,noticed,slight static discharge
my skin,brushed against,y rods
answer1166,was wearing,moccasin house shoes
latest heated bed,does seem to,heat
